model,seed,fid,slug,mlflow_status,best_metric,final_epoch,run_uuid
wgan_gp,42,276.53073153133846,1addf646ea03,FINISHED,-118.67496896004891,41.0,f4b7c621560e47c495b193720e9530c6
wgan_gp,42,275.827678385354,26677854ba29,FINISHED,-137.51814129498152,39.0,1d2d5e0c3884439a9c89df9ca7f02fa5
wgan_gp,3407,174.4026208382076,2b449afde8bc,FINISHED,-73.33260648649137,67.0,109da513b45449f1850ccbd7fcc0deb6
wgan_gp,0,227.9807846177588,357e645fbfb3,FINISHED,-64.00147699808574,47.0,7296ad61c99f4fa9b2223e005d4e3d4d
wgan_gp,42,287.86598853943804,4697d79e2d0f,FINISHED,-127.15477938265414,40.0,964cb5577c024aa6a1fd27f93a297660
wgan_gp,0,282.5110128284961,556989bb4f90,FINISHED,-81.25460125805738,47.0,6e6b5af2450c4007935d9282fece0de5
wgan_gp,0,242.01744540119546,5ba20e04c5cf,FINISHED,-73.05129193066357,48.0,9df3072a586f4f65a4693308c89fe801
wgan_gp,0,232.7560774035598,603854c89499,FINISHED,-69.96750624067671,48.0,d56510f4a13144a7a6d965578a991955
wgan_gp,3407,264.4514516610181,6301519d2f66,FINISHED,-89.82766328034577,44.0,4d3fff737cdb418da5dc707ab416c8ad
wgan_gp,0,264.30291686650105,692fa9aaeca6,FINISHED,-92.08053184104514,39.0,a4ce5fa53cb94c138584ae2ad81c4b65
wgan_gp,3407,249.7163422127133,73797246fe02,FINISHED,-103.09849769813759,68.0,bd1e5e21de7a4491b150046177a11f24
wgan_gp,3407,249.07373553585194,7b7d15432be4,FINISHED,-79.57807177752704,42.0,13aec3322bca4297a6f0c6c47e6d076b
wgan_gp,3407,269.9753909735332,8c61c4e4f5da,FINISHED,-112.08765562590177,35.0,9dbb4e184d574e899cc5747a77906cbd
wgan_gp,3407,282.1916489558895,8dd334c1bdf5,FINISHED,-81.0802352798355,38.0,33f617951aa34cb3b384de2c0165ac77
wgan_gp,42,282.3609269624159,974f6ed3c7a2,FINISHED,-102.29242855220943,39.0,d7b94f9987a049518a9ff3ecda70d383
