model_type,model_label,runs_total,runs_finished,runs_failed,mean_final_epoch,median_final_epoch,early_stop_rate,mean_best_metric,median_duration_min,mean_duration_min,median_sec_per_epoch,mean_sec_per_epoch
vqvae,VQ-VAE-1,57,30,27,150.76666666666668,151.0,1.0,0.08887283517979086,46.71815,45.599600555555554,18.354094112149532,17.921822796949055
wgan_gp,WGAN-GP,41,33,8,41.121212121212125,40.0,1.0,-91.18111097395001,122.20561666666667,142.3282126262626,187.1899268292683,202.405144422255
beta_vae,$\beta$-VAE,38,24,14,50.708333333333336,42.5,1.0,0.220217375511614,19.232266666666668,21.979227083333335,26.97875925925926,25.72466864291283
sn_gan,SN-GAN,26,24,2,46.541666666666664,43.0,1.0,-0.9525816869195755,38.307025,41.67326944444445,53.44467502179599,53.68836432958003
ddim,DDIM,21,17,4,50.411764705882355,46.0,1.0,0.03480172236770547,144.7124333333333,194.45188235294117,130.89693103448275,232.98354051981534
tiny_ldm,Tiny LDM,20,19,1,65.36842105263158,50.0,1.0,0.3842332896150758,10.518816666666668,12.051707894736841,9.84775,12.151990781371685
pixelcnn,PixelCNN,7,6,1,146.33333333333334,161.5,1.0,2.884026236004299,83.38435833333332,65.76557222222222,30.368488102232668,24.876323123063198
